Rank,School,S,Assists,Per Set
1,Hawaii,65,817,12.57
2,UCLA,80,1001,12.51
3,UC Santa Barbara,74,923,12.47
4,Ball St.,75,927,12.36
5,Mount Olive,69,849,12.30
6,Long Beach St.,47,565,12.02
7,Purdue Fort Wayne,60,721,12.02
8,Ohio St.,71,851,11.99
9,Belmont Abbey,88,1054,11.98
10,Southern California,65,777,11.95
11,Lewis,83,986,11.88
12,Barton,73,865,11.85
13,Loyola Chicago,78,912,11.69
14,Pepperdine,72,830,11.53
15,BYU,81,931,11.49
16,Grand Canyon,72,827,11.49
17,George Mason,79,904,11.44
18,Lincoln Memorial,70,797,11.39
19,Limestone,88,991,11.26
20,North Greenville,66,743,11.26
21,King (TN),91,1007,11.07
22,Lindenwood (MO),65,719,11.06
23,NJIT,65,717,11.03
24,Penn St.,86,948,11.02
25,Queens (NC),102,1124,11.02
26,UC San Diego,68,743,10.93
27,UC Irvine,62,674,10.87
28,Emmanuel (GA),87,941,10.82
29,McKendree,63,674,10.70
30,Daemen,36,384,10.67
31,St. Francis Brooklyn,24,255,10.62
32,Concordia (CA),62,646,10.42
33,CSUN,41,425,10.37
34,Stanford,61,632,10.36
35,Erskine,88,896,10.18
36,Saint Francis (PA),103,1037,10.07
37,Alderson Broaddus,39,386,9.90
38,Quincy,61,595,9.75
39,Tusculum,65,630,9.69
40,Charleston (WV),62,567,9.15
41,Lees-McRae,75,648,8.64
42,Sacred Heart,68,569,8.37
