Rank,School,S,Hits,Per Set
1,Hawaii,892,257,1765,.360
2,BYU,1011,310,2030,.345
3,Lewis,1078,301,2286,.340
4,Penn St.,1002,298,2124,.331
5,UCLA,1063,344,2176,.330
6,Daemen,421,143,844,.329
7,NJIT,786,249,1711,.314
8,UC Santa Barbara,978,299,2173,.312
9,Pepperdine,880,319,1853,.303
10,Grand Canyon,897,320,1943,.297
11,Ohio St.,915,366,1932,.284
12,Long Beach St.,606,219,1371,.282
13,George Mason,980,362,2192,.282
14,Mount Olive,902,287,2186,.281
15,Ball St.,1000,391,2222,.274
16,Loyola Chicago,974,364,2227,.274
17,North Greenville,789,308,1786,.269
18,Lincoln Memorial,855,344,1913,.267
19,Belmont Abbey,1121,471,2488,.261
20,McKendree,728,275,1746,.259
21,Southern California,836,364,1832,.258
22,UC Irvine,721,295,1685,.253
23,Purdue Fort Wayne,761,317,1780,.249
24,Queens (NC),1192,477,2869,.249
25,Concordia (CA),695,273,1733,.244
26,Barton,929,389,2251,.240
27,Emmanuel (GA),1030,440,2485,.237
28,Limestone,1061,467,2508,.237
29,UC San Diego,803,349,1934,.235
30,CSUN,465,200,1166,.227
31,Lindenwood (MO),750,352,1764,.226
32,St. Francis Brooklyn,271,135,655,.208
33,King (TN),1074,504,2752,.207
34,Stanford,669,327,1664,.206
35,Erskine,955,480,2379,.200
36,Saint Francis (PA),1128,559,2861,.199
37,Charleston (WV),629,314,1596,.197
38,Tusculum,676,346,1708,.193
39,Quincy,626,316,1611,.192
40,Lees-McRae,692,376,1945,.162
41,Alderson Broaddus,425,257,1146,.147
42,Sacred Heart,616,399,1855,.117
